0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø
Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631024/163,33,8 x 2 x 0.25,21.0 ±1.1,18.0,-,"TZD 101 06
8 braided 125 Ω
cables"
TFR4631024/184,34,"8 x 2 x 0.25 +
1 x 2 x 0.6",16.1 ± 0.8,13.3,-,"TZD 101 03
8 braided 77 Ω cables
1 pair TFR 460
106/022"
