0,1
Rev,Description
G,"Number of pages changed from 21 to 23.
Figure and product code TFR 463 2024/324 has been added.
TFR 463 2024/214, values 9.7 is changed to 13.6 and 7.1 to 11.0."
H,"Pages 5, 6, 8, 9, 13, 22: Dimensions have been changed.
Page 9: Fig 10 is redrawn."
J,Fig 7 and product code TFR 463 2012/043 added.
K,"Fig 7, 2 is changed to 1."
L,"Number of pages changed from 23 to 24.
Product code TFR 463 2024/203 has been added."
M,"Number of pages changed from 24 to 27.
Figures 29, 30, 31 and product code TFR 463 2020/0941, /2641 and 2024/3832 have been
added."
N,"Number of pages changed from 27 to 23.
Figures 32 and product code TFR 463 2024/2342 added."
S,"Number of pages changed from 23 to 24.
Figure 33 and product code TFR 463 2024/283 added."
