0,1
Rev,Description
C,Paragraph 2 has been added.
D,New logotype in header
E,"Paragraph 2 “Unit: [Nm]”
has been added."
F,Paragraph 1; Tool 1301-LSD9011 removed.
G,"Paragraph 2 removed, higher number changing accordingly
Table 1 and 2 has been added, the torque values has been corrected."
H,"Para 5, page, 4 table 1; Updated torque, 9.0 removed, 4.5 shall be used for all shell
sizes."
J,"Para 2; changed from text’ If the diameter of the cable jacket is to small (the gap
between the shield terminator and jacket is to big, maximum 1 mm) shrink down the
shrink tube over the jacket.’ to ‘If the diameter of the cable jacket is to small (the gap
between the shield terminator and jacket is to big, maximum 1 mm on each side)
build up the jacket with suitable material.’."
K,"Para 2, Photo 3 removed 95 mm.
Para 2; added photo 4b, aded info about second hand alternative."
L,"Added RPYM1050006, D38999 Serie III (QPATROL)"
M,Added C0000000-XX… products in torque table (U047634)
