0,1
S,"Fig. 4 (page 7), added alternative picture for new layout that will be used in the future."
T,"Fig 2b corrected, colours are black, black, red and red. The layout incorrectly shown
from the beginning. Colour codes changed from 0,2,0,2 to 0.0.2.2."
U,Product code TFR4631024/063 has been added.
V,"Product codes TFR4631010/040 and TFR4631010/050 have been added.
Figure 4b at page 7 has been added."
W,Faulty created revision number
X,Added fig 3b
Y,Changed figure layout for TSR4631025/040 from 3b to 2
Z,Product code TFR4631016/102 has been added.
AA,"Para 4: Flammability-60 requirement for selected cables has been added.
Added Remark: See Para 4 Note: 1 for the following cables: TFR4631024/190,
TFR4631020/050, TFR4631024/100, TFR4631020/070, TFR4631024/370 and
TFR4631024/070."
AB,Added numbers on the wires on the drawing on fig 25.
AC,Changed the dimensions on Jacket and Braid on TFR4361010/040
