0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø
Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/0941,29,"3 x 0.6 + 3
x 2 x 0.6","10.7
± 0.5",8.1,5.9 / 5.7,"TZD 101 03
3 braided 77 Ω cables
TFR 100 106/01 x 3 x
AWG 20 double braided"
TFR 463 2020/2641,30,"10 x 0.6 + 8
x 2 x 0.6","15.8
± 0.8",13.0,TBD,"TZD 101 03
8 braided 77 Ω cables
TFR 100 106/01 x 10 x
AWG 20 braided"
