0,1
Rev,Description
F,Product code RPT 234 0109/030 has been added.
G,"Paragraph 5, number of contacts for RPT 234 0113/080,-/220
and –0019/660 are changed. MS-designation D38999/20 for
RPT 234 0119/660 is changed."
H,"Paragraph 5, MS-designation D38999/20 for RPT 234 0113/220
is changed."
J,Product code RPT 234 0117/080 has been added.
K,Product code RPT 234 0115/120 has been added.
L,Product code RPT 234 0117/550 has been added.
M,Product code RPT 234 0125/610 has been added.
N,"Product codes RPT 234 0113/100, RPT 234 0121/410 and
RPT 234 0123/210 have been added."
S,Product code RPT 234 0115/190 has been added.
T,Paragraph 4.3 PANEL CUTOUT added.
U,Product code RPT 234 0111/350 has been added.
V,"Product codes RPT 234 0111/810 and RPT 234 0117/820 have
been added."
X,Product code RPT 234 0115/191 has been added.
Y,"Paragraph 4.3 PANEL CUTOUT, measure H updated, added
back/front panel mounting according to MIL-DTL-38999K."
Z,"Document adapted to Saab layout.
Information added to RPT 234 0111/810 and RPT 234
0117/820: Delivered with: 10/RPT 235 08.
Paragraph 3.1.1 Dimensions table, T and TT changed place."
