0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/240,13,2 x 3 + 2 x 0.6,14.5 ± 0.7,11.7,3.3,"Twisted 2 x 3 +8 x 2
x AWG 20"
TFR 463 2020/370,14,37 x 0.6,13.3 ± 0.7,10.5,3.8,37 x AWG 20
TFR 463 2024/370,14,37 x 0.25,11.5 ± 0.7,7.7,6.6,"See Para 5 Note: 2
37 x AWG 24"
