0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
Ω/km
nom.",Remark
TFR 463 2016/050,8,5 x 1.25,7.9 ± 0.3,5.5,8.7,5 x AWG 16
TFR 463 2020/050,8,5 x 0.6,6.5 ± 0.3,4.4,12.1,5 x AWG 20
TFR 463 2020/100,9,10 x 0.6,8.6 ± 0.4,6.2,9.0,10 x AWG 20
TFR 463 2024/100,9,10 x 0.25,6.9 ± 0.3,4.7,10.8,10 x AWG 24
TFR 463 2020/190,10,19 x 0.6,"10.2 ±
0.5",7.6,6.5,19 x AWG 20
TFR 463 2024/190,10,19 x 0.25,8.1 ± 0.4,5.7,8.9,"See Para 5 Note: 2
19 x AWG 24"
