0,1
Rev,Description
L,Figure 3 and product code RPT 234 6925/200B added.
M,Product code RPT 234 6123/210 and RPT 234 6925/200C are added.
N,Product code RPT 234 6121/160 is added.
S,Product code RPT 234 6125/290 is added.
T,Product code RPT 234 6117/060 and RPT 234 6125/350 are added.
U,Product code RPT 234 6125/430 is added.
V,Product code RPT 234 6123/351 has been added.
X,Product codes RPT 234 6111/040 and -/980 have been added.
Y,"MIL-C-38999 has been changed to MIL-DTL-38999.
Product codes RPT 234 6115/970 and RPT 234 6121/0350 have been added."
Z,Product code RPT 234 6125/293 has been added.
AA,Product code RPT 234 6113/040 has been added.
AB,Product code 1/RPT 234 6125/200 has been added.
AC,"Document adapted to Saab layout.
Product code RPT 234 6125/110 has been added."
AD,Product code RPT 234 6123/350 has been added.
AE,Product code RPT 234 6315/180 has been added.
AF,Product code RPT 234 6315/191 and RPT 234 6321/351 are added.
AG,Product code RPT 234 6423/350 has been added.
