0,1,2,3,4
"Product code
Purchased",Shell size,"Number of contacts
and size","MIL-
designation
D38999/",Remarks
RNT 224 6313/042,13,4 # 16,26FC4SB,Key B
RNT 224 6313/350,13,22 # 22D,26FC35SN,
RNT 224 6313/351,13,22 # 22D,26FC35SC,Key C!
RNT 224 6313/3511,13,22 # 22D,26FC35SA,Key A!
RNT 224 6315/180,15,18 # 20,26FD18SN,
RNT 224 6315/191,15,19 # 20,26FD19SA,
RNT 224 6315/370,15,37 # 22D,26FD35SN,
RNT 224 6317/060,17,6 #12,26FE6SN,
RNT 224 6317/061,17,6 #12,26FE6SA,
RNT 224 6317/062,17,6 #12,26FE6SB,
RNT 224 6317/063,17,6 #12,26FE6SC,
RNT 224 6317/064,17,6 #12,26FE6SD,
RNT 224 6317/065,17,6 #12,26FE6SE,
RNT 224 6317/260,17,26 #20,26FE26SN,
RNT 224 6317/351,17,55 #22D,26FE35SA,
RNT 224 6319/350,19,66 #22D,26FF35SN,
RNT 224 6319/351,19,66 #22D,26FF35SA,
RNT 224 6319/352,19,66 #22D,26FF35SB,
RNT 224 6319/353,19,66 #22D,26FF35SC,
RNT 224 6319/354,19,66 #22D,26FF35SD,
RNT 224 6319/355,19,66 #22D,26FF35SE,
RNT 224 6325/080,25,8 #8,26FJ8BN,"LC (Less
contacts)!
Twinax inserts
are ordered
separately!"
RNT 224 6321/110,21,11 #12,26FG11SN,
RNT 224 6321/350,21,79 # 22D,26FG35SN,
RNT 224 6321/351,21,79 # 22D,26FG35SA,
RNT 224 6323/350,23,100 # 22D,26FH35SN,
RNT 224 6409/030,9,3 # 20,26KA98SN,
RNT 224 6413/040,13,4 # 16,26KC4SN,
