0,1,2,3,4
Part Number,Crimp tool,Positioner,Insertion,extraction tool
"C0004924-10030
C0004924-10031
C0004924-100309","VM8
(M.105007)","VH435
(M.105009)","ASTRO/
ATC1111 or
CANNON/
CIT-16","ASTRO/ATC 2069
or CANNON
CET16-4"
