0,1
Rev,Description
B,"Paragraph 2.2 is changed from cadmium chromate olive drab, 500 h resistance.
Figure in 2.3.1 is changed. A thread dimensions in 2.3.1.1 are changed.
Figure 2.3.2 is changed and new tables 2.3.2.1 and 2.3.2.2 are added.
Text is changed in paragraph 6.5.
Product numbers RPY 105 3013/063, RPY 105 3014/041, RPY 105 3014/061,
RPY 105 3020/071, RPY 105 3021/083, RPY 105 3023/083 and RPY 105 3024/091 are added.
Column for “Design acc. To “ is added in paragraph 7."
C,"Product numbers RPY 105 3013/043, RPY 105 3015/073, -/083, RPY 105 3021/053
have been added."
D,"Product numbers RPY 105 3013/023, -/073, -15/023, -/063, -21/023, -/043, -/063, -/093, -25/063, -
/073, -/083, -/093, -/103 are added."
E,Product code RPY 105 3019/083 has been added.
F,Product code RPY 105 3011/073 has been added.
G,Shell size 19 (18) and product code RPY 105 3023/063 have been added.
H,Product codes RPY 105 3014/031 and RPY 105 3015/033 have been added.
J,Product code RPY 105 3015/061 has been added.
K,"Para 2.3.2, adapter ring has been added.
Para 5, Product Quality and para 6 Marking have been added.
References 1301-RPY1037, 1301-MPB115, 105 63-2031 Uen have been added.
Reference MIL-C-38999 has been changed to MIL-DTL-38999.
Product code RPY 105 3012/061 has been added."
L,Product code RPY 105 3017/083 has been added.
M,"Product codes RPY 105 3008/021, -3009/033 and -3011/033 have been added."
N,"Product code RPY 105 3018/081 has been added.
Para 2.1, O-ring has been removed from material."
S,"Product codes RPY 105 3011/043 and RPY 105 3019/043 have been added.
Para 8.2, all MIL-C38999 have been changed to MIL-DTL-38999."
T,"Design acc. To paragraph has been changed for RPY 105 3008/021, -09/033,
-10/041, -11/033, -11/043 and -11/073. RPY 105 3015/061 has been deleted."
U,Product code RPY 105 3025/113 has been added.
V,Product codes RPY 105 3016/021 and RPY 105 3024/081 have been added.
X,Product code RPY 105 3020/091 has been added.
Y,Product code RPY 105 3020/041 has been added.
Z,Product codes RPY 105 3017/043 and RPY 105 3017/063 have been added.
AA,Product code RPY 105 3012/081 has been added.
AB,Document adapted to Saab layout. Information added for shell size 9 (8).
AC,Product code RPY 105 3010/011 has been added.
