0,1,2,3
Parameter,Condition,Value,Unit
Temperature range,Installation,0 to 50,°C
Temperature range,Operation,-40 to 85,°C
Maximum Bending radius,Installation,48,mm
Maximum Bending radius,Operation,24,mm
