0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm
± 0.3","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2015/030,1,3 x 1.5,7.5,5.0,10.4,
TFR 463 2025/030,1,3 x 2.5,8.6,6.0,8.2,
