0,1
Rev,Description
AE,Product code RPY 105 0919/081 is added.
AF,"Product codes RPY 105 0910/011, -10/042, -19/061, -21/101 and -21/091 are
added."
AG,Product code RPY 105 0924/081 has been added.
AH,Product code RPY 105 0917/061 has been added.
AJ,Product code RPY 105 0916/021 has been added.
AK,Product code RPY 105 0920/091 has been added.
AL,"Corrections made to pictures for alternative 1 and 2. Pictures changed to better
define measure of ‘L’."
AM,"Document adapted to Saab layout.
Product code RPY 105 0910/061 has been added."
AN,"Para 4; table and paragraph removed, higher number changing accordingly."
AS,Product code RPY 105 0909/031 has been added.
AT,Paragraph 2.3.2.1 has updated
AU,"Para 2.3.1; Alternative 1 and 2 moved to 2.3.1.
Para 2.3.2.1 moved to 2.3.3.
New Para 2.3.2; Type 2 adapter.
Para 2.3.2.2 moved to 2.3.3.1.
Para 5.5 Added Note for Shell size.
Para 6; added column Remarks and info about Type 2 version."
AV,"Product code RPY10509/031 has been added.
The information “NOT EXPORT CONTROLLED” has been added"
AX,"Product code RPY1050919/021 has been added.
Correction made to product list to RPY 105 0909/062 which needs a Type 2
size 15, not Type 2 Size 17."
AY,Product code RPY105 0912/081 has been added.
AZ,"Para 5.6; added info for ID 11.
Product code RPY105 0919/112 has been added."
BA,"Product code C0000607-11031
has been added. U031340"
BB,A Column has been deleted
BC,Product code RPY1050924/102 has been added.
BD,"C0000607-11031 corrected information about type 2 backshell from size 11 to
size 13."
BE,Product code RPY1050911/021 has been added.
BF,Changed ID01 and ID02 from 15/8 to 13/8 in para 5.6.
BG,Paragraph 5.5.1 added in regards to C-number interpretation.
