0,1,2,3,4,5,6
Product number,Angle,"Shell
size","Cable entry
(mm)","Suitable Shrink
boot size (mm)","Style 2
(shell size)",Remarks
C0000974-02115,Straight,G (21),25.4,30.2,,
C0000974-02309,Straight,H (23),15.9,20.6,,
C0000974-02313,Straight,H (23),22.2,27.0,,
C0000974-02511,Straight,J (25),19.1,23.8,,
C0000974-40903,45°,A (09),6.4,11.1,,
C0000974-41104,45°,B (11),7.9,12.7,,
C0000974-41505,45°,D (15),9.5,14.3,,
C0000974-41507,45°,D (15),12.7,17.5,,
C0000974-41709,45°,E (17),"15,9","20,6",,
C0000974-42511,45°,J (25),19.1,23.8,,
C0000974-91104,90°,B (11),7.9,12.7,,
C0000974-91105,90°,B (11),9.5,14.3,,
C0000974-91106,90°,B (11),11.1,15.9,,
C0000974-91107,90°,B (11),12.7,17.5,,
C0000974-91109,90°,B (11),15.9,20.6,15,
C0000974-91305,90°,C (13),9.5,14.3,,
C0000974-91309,90°,C (13),15.9,20.6,15,
C0000974-91505,90°,D (15),9.5,14.3,,
C0000974-91507,90°,D (15),12.7,17.5,,
C0000974-91509,90°,D (15),15.9,20.6,,
C0000974-91705,90°,E (17),9.5,14.3,,
C0000974-91707,90°,E (17),12.7,17.5,,
C0000974-91709,90°,E (17),15.9,20.6,,
C0000974-91711,90°,E (17),19.1,23.8,,
C0000974-91905,90°,F (19),9.5,14.3,,
C0000974-92107,90°,G (21),12.7,17.5,,
C0000974-92111,90°,G (21),19.1,23.8,,
C0000974-92307,90°,H (23),12.7,17.5,,
C0000974-92311,90°,H (23),19.1,23.8,,
C0000974-92315,90°,H (23),25.4,30.2,,
C0000974-92509,90°,J (25),15.9,20.6,,
C0000974-92511,90°,J (25),19.1,23.8,,
