0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø
Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631010/020,5,2 x 10,17.0 ± 0.9,14.2,-,Double braided
