0,1,2,3
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.","1 General
MIL-DTL-38999 serie I, Square flange male Receptacle with accessory thread
(MS27656). Aluminium plated with Nickel-PTFE
2 Product list","1 General
MIL-DTL-38999 serie I, Square flange male Receptacle with accessory thread
(MS27656). Aluminium plated with Nickel-PTFE
2 Product list","1 General
MIL-DTL-38999 serie I, Square flange male Receptacle with accessory thread
(MS27656). Aluminium plated with Nickel-PTFE
2 Product list"
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",Product number,Layout,Remarks
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",C0000742-09350,9-35,6 #22D
,C0000742-09350,9-35,6 #22D
,C0000742-09980,9-98,3 #20
,C0000742-11350,11-35,13 #22D
,C0000742-11980,11-98,6 #20
,C0000742-13350,13-35,22 #22D
,C0000742-15050,15-5,5 #16
,C0000742-17060,17-6,6 #12
,C0000742-17080,17-8,8 #16
,C0000742-17350,17-35,55 #22D
,C0000742-19320,19-32,32 #20
,C0000742-21160,21-16,16 #16
