0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/203,29,10 x 2 x 0.6,16.3 ± 0.8,13.5,2.50,"10 x 2 AWG 20
braided"
TFR4631022/363,30,12 x 3 x 0.4,19.7 ± 1.0,16.7,-,"12 x 3 AWG 22
double braided"
