0,1,2,3,4,5,6
"Product code
TFR 463 2024/3832","Fig
31","Number of
conductors
x mm2
19 x 2 x 0.25","ø Jacket
mm
30.6 ± 1.5","ø Braid
mm
nom
27.0","DC-
resistance
Ω/km
nom.
TBD","Remark
TZD 101 06
19 braided 125 Ω
cables braided"
TFR 463 2024/2342,32,"20 x 0.25 + 3
x 2 x 0.25",11.1 ± 0.6,8.5,4.6,
