0,1,2,3,4
"Product code
Purchased","Shell
size","Number of
contacts
x size",Keying,"MIL-designation
D38999/24"
RPT 234 4121/410,21,41 # 20,N,WG41PN
RPT 234 4121/411,21,41 # 20,A,WG41PA
RPT 234 4121/412,21,41 # 20,B,WG39PB
RPT 234 4123/210,23,21 # 16,N,WH21PN
RPT 234 4123/350,23,100 # 22D,N,WH35PN
RPT 234 4123/530,23,53 # 20,N,WH53PN
RPT 234 4125/040,25,"48 # 20, 8 # 16",N,WJ4PN
RPT 234 4125/610,25,61 # 20,N,WJ61PN
RPT 234 4125/611,25,61 # 20,A,WJ61PA
RPT 234 4125/612,25,61 # 20,B,WJ61PB
RPT 234 4309/060,9,6 # 22D,N,FA35PN
RPT 234 4311/130,11,13 # 22D,N,FB35PN
RPT 234 4313/080,13,8 # 20,N,FC8PN
RPT 234 4313/103,13,10 # 20,C,FC98PC
RPT 234 4313/220,13,22 # 22D,N,FC35PN
RPT 234 4313/351,13,22 # 22D,A,FC35PA
RPT 234 4315/191,15,19 # 20,A,FD19PA
RPT 234 4315/370,15,37 # 22D,N,FD35PN
RPT 234 4315/371,15,37 # 22D,A,FD35PA
RPT 234 4317/080,17,8 # 16,N,FE8PN
RPT 234 4317/350,17,55 # 22D,N,FE35PN
RPT 234 4319/350,19,66 # 22D,N,FF35PN
RPT 234 4321/080,21,79 # 22D,N,FG35PN
RPT 234 4409/030,9,3 # 20,N,KA98PN
RPT2344 411/130,11,13 # 22D,N,KB35PN
RPT234 4413/040,13,4 # 16,N,KC4PN
RPT 234 4413/100,13,10 # 20,N,KC98PN
RPT 234 4413/220,13,22 # 22D,N,KC35PN
