0,1,2,3,4
Part Number,Contact,Crimp tool,Locator,"Insertion /
extraction tool"
C0001866-0272,AWG20,M22520/2-01,M22520/2-08,M81969/1-02
C0001866-0272,AWG12,"DMC-M310 /
TGV300","DMC-TP974 /
TGV402",4311-0-0-0*
C0001866-3272,AWG12,"DMC-M310 /
TGV300","DMC-TP974 /
TGV402",4311-0-0-0*
C0001866-1272,AWG20,M22520/2-01,M22520/2-08,M81969/1-02
C0001866-1272,AWG12,"DMC-M310 /
TGV300","DMC-TP974/
TGV402",4311-0-0-0*
C0001866-4272,AWG20,M22520/2-01,M22520/2-08,M81969/1-02
C0001866-4272,AWG12,"DMC-M310 /
TGV300","DMC-TP974/
TGV402",4311-0-0-0*
