0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/203,27,10 x 2 x 0.6,16.3 ± 0.8,13.5,2.5,"10 x 2 AWG 20
braided"
TFR 463 2024/203,27,10 x 2 x 0.25,13.6 ± 0.8,10.8,3.6,"10 x 2 AWG 24
braided"
TFR 463 2024/214,28,"9 x 2 x 0.25 +
1 x 3 x 0.25",13.6 ± 0.7,11.0,3.7,"9 x 2 AWG 24+1 x 3
AWG 24 braided"
