0,1
Rev,Description
B,"Number of pages changed from 5 to 6.
Para 2.3.1 and 2.3.2 + product codes have been added."
C,"Number of pages changed from 6 to 7.
Product codes RPY 105 0909/022, 13/052, 14/032, 14/062, 14/082, 15/032,
15/042, 18/072, 21/042, 21/072, 21/082, 25/062, 25/072, 25/082, 25/092 and
25/112 added."
D,"Para 2.3.2.1, series 1,.888-24 changed to.688-24 and 1-052-18 to 1-062-18.
Para 2.3.2.1, ID code 11 added.
Product codes RPY 105 0914/072 and 0917/051 added."
E,Product code RPY 105 0909/062 added.
F,Product code RPY 105 0910/022 added.
G,Product code RPY 105 0918/082 added.
H,Product code RPY 105 0917/062 added.
J,Product codes RPY 105 0915/022 and RPY 105 0923/062 are added.
K,Product codes RPY 105 0913/022 and RPY 105 0917/082 are added.
L,Product code RPY 105 0913/072 is added.
M,"Product codes RPY 105 0910/041, 12/021, 12/041, 14/041, 14/071, 16/041,
16/071, 20/041, 20/061, 20/111 and 24/091 are added."
N,"Product codes RPY 105 0908/021, 14/061, 16/081, 18/041, and 20/071 are
added."
S,"Product codes RPY 105 0912/061, 14/021, 16/061, 18/061, 22/081 are added."
T,Corrections made to product list.
U,Product codes RPY 105 0918/071 is added.
V,Product codes RPY 105 0911/041 and RPY 105 0913/041 were added.
X,"Product codes RPY 105 0911/071, -13/061, -15/061, -15/071, -18/081 and -
21/071 are added."
Y,Product code RPY 105 0922/091 is added.
Z,Product code RPY 105 0914/081 is added.
AA,Product code RPY 105 0923/081 is added.
AB,Product code RPY 105 0921/081 is added.
AC,"Product codes RPY 105 0909/041, -11/081 and -15/081 are added."
AD,Product code RPY 105 0924/051 is added.
