0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø
Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/612,22,"3 x 3 +10 x 2
+16 x 2 x 0.6",20.5 ±1.0,17.5,1.90,"3 x 3 + 26 x 2
AWG 20"
TFR4631024/612,22,"3 x 3 +10 x
2+16 x 2 x
0.25",15.9 ± 0.8,13.1,3.80,"3 x 3 + 26 x 2
AWG 24"
