0,1,2,3,4,5
"Shell
Size",Ø A,Ø B,D,E,T
"Shell
Size","Max
(mm)","Max
(mm)","Accessory Thread
Metric","Mating Thread
Class 2B","No. of
Teeth"
D(15),32.50,16.92,M22x1.0-6g 0.100R,1.0000-0.1P-0.3L,24
E(17),35.70,20.09,M25x1.0-6g 0.100R,1.1875-0.1P-0.3L,28
