0,1,2,3,4,5,6
Product number,Angle,"Shell
size","Cable entry
(mm)","Suitable Shrink
boot size (mm)","Style 2
(shell size)",Remarks
C0000974-00903,Straight,A (9),6.4,11.1,,
C0000974-00905,Straight,A (9),9.5,14.3,11,
C0000974-01105,Straight,B (11),9.5,14.3,,
C0000974-01109,Straight,B (11),15.9,20.6,15,
C0000974-01111,Straight,B (11),19.1,23.8,17,
C0000974-01304,Straight,C (13),7.9,12.7,,
C0000974-01306,Straight,C (13),11.1,15.9,,
C0000974-01309,Straight,C (13),15.9,20.6,15,
C0000974-01311,Straight,C (13),19.1,23.8,17,
C0000974-01505,Straight,D (15),9.5,14.3,,
C0000974-01506,Straight,D (15),11.1,15.9,,
C0000974-01507,Straight,D (15),12.7,17.5,,
C0000974-01509,Straight,D (15),15.9,20.6,,
C0000974-01511,Straight,D (15),19.1,23.8,17,
C0000974-01703,Straight,E (17),6.35,11.1,,
C0000974-01707,Straight,E (17),12.7,17.5,,
C0000974-01709,Straight,E (17),15.9,20.6,,
C0000974-01711,Straight,E (17),19.1,23.8,,
C0000974-01907,Straight,F (19),12.7,17.4,,
C0000974-01917,Straight,F (19),28.6,33.3,23,
C0000974-02105,Straight,G (21),9.5,14.3,,
C0000974-02107,Straight,G (21),12.7,17.5,,
C0000974-02111,Straight,G (21),19.1,23.8,,
