0,1,2,3,4
"Product code
Purchased","Shell
size","Number of
contacts","MS-designation
D38999/20",Remarks
RPT 234 0109/350,9,6 # 22D,WA35PN,
RPT 234 0109/030,9,3 # 20,WA98PN,
RPT 234 0111/060,11,6 # 20,WB98PN,
RPT 234 0111/350,11,13 # 22D,WB35PN,
RPT 234 0111/810,11,"1 # 8
Quadrax","Not QPL approved
20W…(11-81)","Delivered with:
10/RPT 235 08."
RPT 234 0113/040,13,4 # 16,WC4PN,
RPT 234 0113/041,13,4 # 16,WC4PA,
RPT 234 0113/080,13,8 # 20,WC8PC,
RPT 234 0113/100,13,10 # 20,WC98PN,
RPT 234 0113/220,13,22 # 22D,WC35PN,
RPT 234 0115/050,15,5 # 16,WD5PN,
RPT 234 0115/120,15,"8 # 20, 4 #
16",WD97PN,
RPT 234 0115/190,15,19 # 20,WD19PN,
RPT 234 0115/191,15,19 # 20,WD19PA,
"PB5075/431N/0
6853504457",15,37 # 22D,WD35PN,
PB5075/521N/0,17,6 # 12,WE6PN,
RPT 234 0117/080,17,8 # 16,WE8PN,
RPT 234 0117/260,17,26 # 20,WE26PN,
RPT 234 0117/550,17,55 # 22D,WE35PN,
RPT 234 0117/820,17,"2 # 8
Quadrax","Not QPL approved
20W…(17-82)","Delivered with:
10/RPT 235 08."
RPT 234 0117/820B,17,"2 # 8
Quadrax","Not QPL approved
20W…(17-82)","PCB mount, acc.
to Para 3.2.1"
RPT 234 0117/990,17,"21 # 20, 2 #
16",WE99PN,
RPT 234 0119/110,19,11 # 16,WF11PN,
RPT 234 0119/111,19,11 # 16,WF11PA,
RPT 234 0119/320,19,32 # 20,WF32PN,
RPT 234 0119/660,19,66 # 22D,WF35PN,
"RPT 234 0121/040
*)",21,4 # 8,WG75AN,
