0,1,2,3,4,5
Product code,Fig,"Number of
conductors","ø Jacket
mm","ø Braid DC-resistance
mm braid",Remark
,,x mm²,,"nom Ω/km
max",
TFR4631024/063,36,3 x 2 x 0.2,15.2 ± 0.6,12.6 -,TZD 101 06/2 x 3
