0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø
Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631015/050,4,5 x 1.5,8.5 ± 0.4,6.1,8.80,"Black conductors shall
be numbered 1, 2 and
3."
TFR4631025/050,4,5 x 2.5,10.1 ± 0.5,7.5,7.10,"Black conductors shall
be numbered 1, 2 and
3."
TFR4631040/050,4,5 x 4.0,15.9 ± 0.8,13.1,-,"Black conductors shall
be numbered 1, 2 and
3."
TFR4631060/050,4,5 x 6.0,17.7 ± 0.9,14.9,2.10,"Black conductors shall
be numbered 1, 2 and
3."
TFR4631010/050,4b,5 x 10,18.2,15.2,-,"Black conductors shall
be numbered 1, 2 and
3."
TFR4631016/102,4c,"5 x 2 x
16AWG",12.1,9.7,-,"Black conductors shall
be numbered 1, 2 and
3."
