0,1,2,3
Parameter,Conditions,Values,Unit
Capacitance,length nom,48,pF/m
Characteristic impedance,at 1 MHz,125 ± 10,Ω
Velocity of propagation,,nom 65,%
Dielectric constant,,1.7,
Insulation resistance,,min 10 4,MΩ
Conductor resistance,,nom 0.075,Ω/m
Corona,,min 850,V
Dielectric strength,,min 1 000,V
Radiation resistance,,max 100,Mrad
Temperature range,Halogen free,"-55...+ 200
-40...+ 105",°C
