0,1,2,3
"Product code
Purchased","Number of
contacts","Shell
size","MS-designation
D 38999/24"
RNT 224 4109/030,3 #20,9,WA 98 SN
RNT 224 4109/350,6 #22D,9,WA 35 SN
RNT 224 4111/130,13 #22D,11,WB 35 SN
RNT 224 4111/131,13 #22D,11,WB 35 SA
RNT 224 4113/100,10 #20,13,WC 98 SN
RNT 224 4113/101,10 #20,13,WC 98 SA
RNT 224 4113/220,22 #22D,13,WC 35 SN
RNT 224 4115/150,"1 #16, 14 #20",15,WD 15 SN
RNT 224 4115/180,18 #20,15,WD 18 SN
RNT 224 4115/190,19 #20,15,WD 19 SN
RNT 224 4115/191,19 #20,15,WD 19 SA
RNT 224 4115/050,5 #16,15,WD 5 BSN
RNT 224 4115/970,"8 # 20, 4 # 16",15,WD97SN
RNT 224 4117/060,6 #12,17,WE 6 SN
RNT 224 4117/260,26 #20,17,WE 26 SN
RNT 224 4119/110,11 #16,19,WF 11 SN
RNT 224 4119/320,32 #20,19,WF 32 SN
RNT 224 4119/351,66 #22D,19,WF 35 SA
RNT 224 4121/390,"2 #16, 37 #20",21,WG 39 SN
RNT 224 4121/410,41 #20,21,WG 41 SN
RNT 224 4121/411,41 #20,21,WG 41 SA
RNT 224 4121/790,79 #22D,21,WG 35 SN
RNT 224 4123/210,21 #16,23,WH 21 SN
RNT 224 4125/040,"48 #20, 8 #16",25,WJ 4 SN
RNT 224 4125/610,61 #20,25,WJ 61 SN
RNT 224 4125/611,61 #20,25,WJ 61 SA
