0,1,2,3,4,5
Product number,Layout,Key,Plating,Contact size,Remark
C0004924-10030,10SL-3,N,Black Zinc,3xAWG16,"Backshell for strain
relief. Straight."
C0004924-10031,10SL-3,N,Black Zinc,3xAWG16,"Backshell for strain
relief. Straight."
C0004924-100309,10SL-3,N,Black Zinc,3xAWG16,"Backshell for shield
(360°) and shrink boot.
90° deg."
