0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2015/040,2a,4 x 1.5,7.7 ± 0.8,5.5,8.7,"Black conductors shall
be numbered 1, 2 and
3"
TFR 463 2025/040,2a,4 x 2.5,8.2 ± 0.8,6.7,7.7,"Black conductors shall
be numbered 1, 2 and
3"
TFR 463 2060/040,2a,4 x 6.0,16.2 ± 0.8,13.4,2.4,"Black conductors shall
be numbered 1, 2 and
3"
TFR 463 2010/040,2b,4 x 10.0,16.1± 0.6,13.3,1.95,"See Para 5 Note: 2
Black conductors shall
be numbered 1, 2.
Red conductors shall
be numbered 1, 2."
TFR 463 2010/041,2b,4 x 1.5,7.7 ± 0.8,5.5,12.6,"Black conductors shall
be numbered 1, 2.
Red conductors shall
be numbered 1, 2."
TFR 463 2016/040,3,4 x 1.25,7.4 ± 0.4,5.0,10.4,
