0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/573,28,"3 x 3 + 24 x
2 x 0.6",27.7 ± 1.4,24.5,1.00,"3x3+24 x 2 x AWG 20
braided"
TFR4631024/573,28,"3 x 3 + 24 x
2 x 0.25",22.4 ±1.1,19.4,1.80,"3x3+24 x 2 x AWG 24
braided"
