0,1,2
"Shell
size","G
max
(mm)","H
max
(mm)"
A (9),16.2,28.2
B (11),16.9,29.0
C (13),17.5,29.5
D (15),17.9,30.2
E (17),18.6,30.7
F (19),20.4,31.0
G (21),26.2,32.5
H (23),29.4,34.3
J (25),31.0,35.8
