0,1,2,3,4
"Product code
Purchased",Fig,"Shell
size","Number of
contacts
and size",MIL-designation
RPT 234 6121/160,1,21,16 #16,D38999/26WG16PN
RPT 234 6121/350,1,21,79 # 22D,D38999/26WG35PN
RPT 234 6121/390,1,21,"37#20, 2#16",D38999/26WG39PN
RPT 234 6121/410,1,21,41 #20,D38999/26WG41PN
RPT 234 6121/411,1,21,41 #20,D38999/26WG41PA
RPT 234 6123/210,1,23,21 #16,D38999/26WH21PN
RPT 234 6123/350,1,23,100#22D,D38999/26WH35P
RPT 234 6123/351,1,23,100#22D,D38999/26WH35PA
RPT 234 6123/530,1,23,53 #20,D38999/26WH53PN
RPT 234 6125/040,1,25,8#16 48#20,D38999/26WJ04PN
RPT 234 6125/110,1,25,"9#10, 2#20",D38999/26WJ11PN
"1/RPT 234 6125/200
1)",1,25,"4#12 13#16
3# 8 10#20",D38999/26WJ20AN
RPT 234 6125/200,1,25,4#12 13#16,D38999/26WJ61PN
RPT 234 6125/290,1,25,29#16,D38999/26WJ29PN
RPT 234 6125/293,1,25,29#16,D38999/26WJ29PC
RPT 234 6125/350,1,25,128#22D,D38999/26WJ35PN
RPT 234 6125/430,1,25,"23#20, 20#16",D38999/26WJ43PN
RPT 234 6125/431,1,25,"23#20, 20#16",D38999/26WJ43PA
RPT 234 6125/610,1,25,61 #20,D38999/26WJ61PN
RPT 234 6125/611,1,25,61 #20,D38999/26WJ61PA
RPT 234 6311/050,1,11,5 #20,D38999/26FB5PN
RPT 234 6311/351,1,11,13 #22D,D38999/26FB35PA
RPT 234 6311/352,1,11,13 #22D,D38999/26FB35PB
RPT 234 6311/990,1,11,7 #20,D38999/26FB99PN
RPT 234 6313/350,1,13,22 #22D,D38999/26FC35PC
RPT 234 6315/180,1,15,18 #20,D38999/26FD18PN
RPT 234 6315/191,1,15,19 #20,D38999/26FD19PA
