0,1,2,3,4
Altitude,"Service rating I
Suggested operating voltage","Service rating I
Suggested operating voltage","Service rating II
Suggested operating voltage","Service rating II
Suggested operating voltage"
Altitude,AC (RMS),DC,AC (RMS),DC
Sea level,600,850,900,1250
