0,1,2,3
Product code,Shell size,"Number of
contacts",MIL-designation
RNT2240109/350,9,6 # 22D,D38999/20WA35SN
1/RNT 224 0123/350 1),23,100 # 22D,D38999/20WH35BN
1/RNT 224 0125/200 1),25,"4 # 12 13 # 16
10 # 20 3 # 8",D38999/20WJ20BN
RNT 224 0309/031,9,3 # 20,D38999/20FA98SA
6853504863,11,13 # 22D,D38999/20FB35SN
RNT 224 0311/351,11,13 # 22D,D38999/20FB35SA
RNT 224 0313/100,13,10 # 20,D38999/20FC98SN
RNT 224 0313/350,13,22 # 22D,D38999/20FC35SN
RNT 224 0313/351,13,22 # 22D,D38999/20FC35SA
RNT 224 0313/352,13,22 # 22D,D38999/20FC35SB
RNT 224 0313/353,13,22 # 22D,D38999/20FC35SC
RNT 224 0315/180,15,18 # 20,D38999/20FD18SN
RNT 224 0315/350,15,37 # 22D,D38999/20FD35SN
RNT 224 0315/351,15,37 # 22D,D38999/20FD35SA
RNT 224 0317/560,17,6 # 12,D38999/20FE6SE
RNT 224 0317/061,17,6 #12,D38999/20FE6SA
RNT 224 0317/062,17,6 #12,D38999/20FE6SB
RNT 224 0317/080,17,8 # 16,D38999/20FE8SN
RNT 224 0321/110,21,11 # 12,D38999/20FG11SN
RNT 224 0423/350,23,100 # 22D,D38999/20KH35SN
RNT 224 0425/350,25,128 # 22D,D38999/20KJ35SN
