0,1
Revision,Description
,"TT (shell size 15) changed from 4.93 to 4.39.
R2 (shell size 19) changed from 25.97 to 26.97.
Correction has been made to 5 Product list.
Shell size for RNT 224 0115/190 corrected from 13 to 15."
J,Paragraph 4.2 PANEL CUTOUT added.
K,Product code RNT 224 0113/040 have been added.
L,"2.1.1 DIMENSION TABLE, Thread V Metric updated with more
detailed specification, (-6g 0.100R added)"
M,"Product codes RNT 224 0115/050 and
RNT 224 0121/160 has been added."
N,Product code RNT 224 0109/030 have been added.
S,Product code RNT 224 0125/610 have been added.
T,Product code 1/RNT 224 0125/200 have been added.
U,Product code RNT 224 0121/411 have been added.
V,"Paragraph 4.2 PANEL CUTOUT, measure H updated, added back/front panel
mounting according to MIL-DTL-38999K."
X,"Paragraph 4.2., Panel Cutout, added info about recommended max panel thickness."
Y,Para 4.2 removed (TP) from measurements R1 and R2
Z,Product code RNT 224 0123/210 have been added.
AA,Product code RNT 224 0117/260 have been added.
AB,Product codes 1/RNT2240115/350 and 1/RNT2240123/350 have been added.
AC,Product code RNT2240113/350 has been added.
AD,"Paragraph 5, 20 #22D changed to 22 #22D for RNT2240113/350."
AE,"Product codes RNT2240309/031, RNT2240423/350 and RNT2240425/350 has been
added."
AF,Product code RNT2240311/351 has been added
AG,Product code RNT2240119/320 has been added
AH,Product code RNT2240119/110 has been added
AJ,Product code RNT2240117/990 has been added
AK,Product code RNT2240115/120 has been added
AL,Product code RNT2240115/350 has been added
AM,Product code RNT2240317/560 has been added
AN,Product code RNT2240317/080 and 6853504863 have been added.
AP,Product code RNT2240121/040 and 1/RNT2240121/040 have been added.
AQ,Product code RNT2240313/100 has been added.
AS,Product code RNT2240109/350 has been added.
AT,Product code RNT2240321/110 has been added.
