0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/383,25,19 x 2 x 0.6,21.1 ±1.1,18.2,1.80,"19 x 2 x AWG 20
braided"
TFR4631024/383,25,19 x 2 x 0.25,17.5 ± 0.9,14.7,2.30,"19 x 2 x AWG 24
braided"
