0,1
Rev,Description
K,Product code RNT 224 6113/350 added.
L,Product code RNT 224 6119/350 added.
M,Product code RNT 224 6125/350 added.
N,Product code RNT 224 6123/210 and 6123/350 are added.
S,"Product code RNT 224 6125/350, number of contact 37#22D is
changed 28#22D."
T,Corrections made to Product list on page 4.
U,Product code RNT 224 6125/430 is added.
V,Product code RNT 224 6111/060 has been added.
Y,Product code RNT 224 6115/120 has been added.
Z,Product code RNT 224 6113/040 has been added.
AA,Product code RNT 224 6125/420 has been added.
AB,"Product codes RNT 224 6113/351, RNT 224 6125/292 and -/293
have been added."
AC,Product code RNT 224 6111/020 has been added.
AD,"Para 3, RNT 225 has been added to references.
MIL-C-38999 has been changed to MIL-DTL-38999.
Product code RNT 224 6121/350 has been added."
AE,Product code RNT 224 6111/131 has been added.
AF,Product code RNT 224 6113/060 has been added.
